,classification_fixed_id,base_pay_rate_id,base_rate_type,base_rate,calculated_pay_rate_id,calculated_rate_type,calculated_rate,parent_classification_name,classification,classification_level,employee_rate_type_code_x,operative_from,operative_to,version_number,published_year,last_modified_datetime,awards,employee_rate_type_code_y
380,91758,BR103208,Weekly,1069.6,,,,Grade I,3rd year,3.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,156,AD
381,91695,BR103156,Weekly,1749.0,,,,Grade 4,3rd year,3.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,156,AD
382,91775,BR103225,Weekly,1757.0,,,,Grade IV,3rd year,3.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,156,AD
383,88162,BR100046,Weekly,939.6,CR30176,Hourly,24.73,,4th year (4 year apprenticeship only),4.0,AA,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,4,AA
384,115,BR89793,Weekly,995.0,CR25662,Hourly,26.18,,retail employee level 4,4.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,4,AD
385,88158,BR100042,Weekly,895.5,CR30184,Hourly,23.57,Completed year 12,4th year (4 year apprenticeship only),4.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,4,AP
386,88126,BR100013,Weekly,895.5,CR30172,Hourly,23.57,,4th year (4 year apprenticeship only),4.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,4,AP
387,88153,BR100037,Weekly,895.5,CR30180,Hourly,23.57,Has not completed year 12,4th year (4 year apprenticeship only),4.0,AP,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,4,AP
388,116,BR89794,Weekly,1035.9,CR25663,Hourly,27.26,,retail employee level 5,5.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,4,AD
389,117,BR89795,Weekly,1050.9,CR25664,Hourly,27.66,,retail employee level 6,6.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,4,AD
390,118,BR89796,Weekly,1103.6,CR25665,Hourly,29.04,,retail employee level 7,7.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,4,AD
391,119,BR89797,Weekly,1148.4,CR25666,Hourly,30.22,,retail employee level 8,8.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,4,AD
392,88161,BR100045,Weekly,888.5,CR30175,Hourly,23.38,,3rd year,3.0,AA,2022-07-01,2023-06-30,4.0,2022,2023-03-15T09:48:57+00:00,4,CA
393,90723,BR102407,Weekly,686.18,,,,75,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,8,CA
394,90713,BR102401,Weekly,686.18,,,,75,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,8,CA
395,88711,BR100546,Hourly,22.61,,,,,3rd year,2.0,AA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,9,CA
396,90438,BR102181,Weekly,796.0,CR29793,Hourly,20.95,80%,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,9,CA
397,87935,BR99839,Hourly,22.67,,,,level 1 adult rate,3rd year,3.0,AA,2022-07-01,,4.0,2022,2022-06-24T11:31:58+00:00,18,CA
398,87665,BR99611,Weekly,769.15,,,,Have completed year 12,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,25,CA
399,87662,BR99608,Weekly,769.15,,,,Have not completed year 12,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,25,CA
400,87671,BR99617,Weekly,769.15,,,,,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,25,CA
401,91916,BR103345,Weekly,904.44,,,,Commencing on or after 1 January 2014,3rd year,2.0,AA,2022-07-01,2023-06-30,4.0,2022,2022-06-24T11:31:58+00:00,25,CA
402,87748,BR99681,Weekly,727.6,,,,Commencing before 1 January 2014,3rd year,3.0,AA,2022-07-01,2023-06-30,4.0,2022,2022-06-24T11:31:58+00:00,25,CA
403,87072,BR99075,Weekly,895.5,,,,,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,29,CA
404,87068,BR99071,Weekly,746.3,,,,,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,29,CA
405,86994,BR99006,Ordinary hourly,22.34,,,,,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,36,CA
406,86990,BR99002,Ordinary hourly,22.17,,,,,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,36,CA
407,87102,BR99105,Ordinary hourly,22.33,,,,,3rd year,1.0,AA,2022-07-01,2023-06-30,4.0,2022,2022-06-24T11:31:58+00:00,36,CA
408,87098,BR99101,Ordinary hourly,22.3,,,,,3rd year,1.0,AA,2022-07-01,2023-06-30,4.0,2022,2022-06-24T11:31:58+00:00,36,CA
409,86985,BR98997,Ordinary hourly,19.18,,,,,3rd year,3.0,AP,2022-07-01,2023-06-30,4.0,2022,2022-06-24T11:31:58+00:00,36,CA
410,87689,BR99635,Hourly,22.61,,,,,3rd year,2.0,AA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,58,CA
411,87684,BR99630,Hourly,22.61,,,,,3rd year,2.0,AA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,58,CA
412,89642,BR101420,Hourly,25.71,,,,90%,3rd year,3.0,CA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,67,CA
413,87925,BR99832,Weekly,812.6,,,,,3rd year,2.0,AA,2022-07-01,2023-06-30,4.0,2022,2023-03-17T07:33:50+00:00,104,CA
414,88418,BR100274,Weekly,859.3,,,,,3rd year,2.0,AA,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,119,CA
415,4583,BR98675,Weekly,796.0,CR29132,Hourly,20.95,80,3rd year,3.0,AP,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,119,CA
416,88034,BR99920,Weekly,848.5,,,,Retail Employee Level 1,20 years of age and employed by the employer for more than 6 months,1.0,JN,2021-09-01,2022-06-30,2.0,2021,2022-03-03T18:52:51+00:00,4,JN
417,88072,BR99956,Weekly,868.8,,,,Retail Employee Level 2,20 years of age and employed by the employer for more than 6 months,2.0,JN,2021-09-01,2022-06-30,2.0,2021,2022-03-03T18:52:51+00:00,4,JN
418,88079,BR99964,Weekly,882.3,,,,Retail Employee Level 3,20 years of age and employed by the employer for more than 6 months,3.0,JN,2021-09-01,2022-06-30,2.0,2021,2022-03-03T18:52:51+00:00,4,JN
419,142314,BR120742,Weekly,920.38,CR38736,Hourly,24.22,Beauty therapy,full-time graduate—first 12 months - 92.5%,1.0,AD,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AD
420,120,BR89798,Weekly,939.6,CR25667,Hourly,24.73,,hair and beauty employee level 1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,5,AD
421,87509,BR99471,Weekly,497.5,CR30135,Hourly,13.09,Has not completed Year 12,1st year - 50%,1.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
422,92433,BR103680,Weekly,497.5,CR30155,Hourly,13.09,Has not completed Year 12,1st year - 50%,1.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
423,87577,BR99531,Weekly,497.5,CR30143,Hourly,13.09,Has not completed Year 12,1st 6 months - 50%,1.0,AP,2023-07-01,,7.0,2023,2023-06-02T08:37:38+00:00,5,AP
424,142289,BR120722,Weekly,547.25,CR38716,Hourly,14.4,Has completed Year 12,1st year - 55%,1.0,AP,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,5,AP
425,142307,BR120737,Weekly,547.25,CR38732,Hourly,14.4,Has completed Year 12,1st 6 months - 55%,1.0,AP,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,5,AP
426,87589,BR99543,Weekly,547.25,CR30151,Hourly,14.4,Hairdressing,full-time trainee—less than 1000 hours of full-time accredited training - 55%,1.0,TN,2023-07-01,,7.0,2023,2023-06-02T08:37:38+00:00,5,TN
427,121,BR89799,Weekly,961.1,CR25668,Hourly,25.29,,hair and beauty employee level 2,2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,5,AD
428,87510,BR99472,Weekly,597.0,CR30136,Hourly,15.71,Has not completed Year 12,2nd year - 60%,2.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
429,92434,BR103681,Weekly,597.0,CR30156,Hourly,15.71,Has not completed Year 12,2nd year - 60%,2.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
430,142290,BR120723,Weekly,646.75,CR38717,Hourly,17.02,Has completed Year 12,2nd year - 65%,2.0,AP,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,5,AP
431,87578,BR99532,Weekly,547.25,CR30144,Hourly,14.4,Has not completed Year 12,next 6 months - 55%,2.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
432,87591,BR99545,Weekly,746.25,CR30152,Hourly,19.64,Hairdressing,full-time trainee—at least 1000 hours but less than 2000 hours of full-time accredited training - 75%,2.0,TN,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,TN
433,122,BR89800,Weekly,995.0,CR25669,Hourly,26.18,,hair and beauty employee level 3,3.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,5,AD
434,87579,BR99533,Weekly,597.0,CR30145,Hourly,15.71,Has not completed Year 12,next 6 months - 60%,3.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
435,142291,BR120724,Weekly,766.15,CR38718,Hourly,20.16,Has completed Year 12,3rd year - 77%,3.0,AP,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,5,AP
436,142303,BR120734,Weekly,796.0,CR38726,Hourly,20.95,Has completed Year 12,3rd year - 80%,3.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
437,92435,BR103682,Weekly,796.0,CR30157,Hourly,20.95,Has not completed Year 12,3rd year - 80%,3.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
438,142309,BR120739,Weekly,646.75,CR38734,Hourly,17.02,Has completed Year 12,next 6 months - 65%,3.0,AP,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,5,AP
439,87502,BR99466,Hourly,13.09,,,,Level 3,16 years or under,3.0,JN,2023-07-01,,7.0,2023,2023-06-02T08:37:38+00:00,5,JN
440,123,BR89801,Weekly,1013.4,CR25670,Hourly,26.67,,hair and beauty employee level 4,4.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,5,AD
441,142292,BR120725,Weekly,895.5,CR38719,Hourly,23.57,Has completed Year 12,4th year (if applicable) - 90%,4.0,AP,2023-07-01,,8.0,2023,2023-06-02T08:37:38+00:00,5,AP
442,87580,BR99534,Weekly,766.15,CR30146,Hourly,20.16,Has not completed Year 12,next 12 months - 77%,4.0,AP,2023-07-01,,6.0,2023,2023-06-02T08:37:38+00:00,5,AP
443,124,BR89802,Weekly,1043.8,CR25671,Hourly,27.47,,hair and beauty employee level 5,5.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,5,AD
444,125,BR89803,Weekly,1081.0,CR25672,Hourly,28.45,,hair and beauty employee level 6,6.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,5,AD
445,91911,BR103341,Weekly,870.33,CR30154,Hourly,22.9,,beauty therapy graduate (first 12 months),1.0,AD,2022-07-01,,2.0,2022,2022-06-24T11:31:58+00:00,5,AD
446,87582,BR99536,Weekly,517.5,CR30147,Hourly,13.62,Completed year 12,1st six months,1.0,AP,2022-07-01,,2.0,2022,2022-06-24T11:31:58+00:00,5,AP
447,87577,BR99531,Weekly,470.45,CR38728,Hourly,12.38,Has not completed year 12,first six months,1.0,AP,2022-07-01,,3.0,2022,2022-08-04T09:50:59+00:00,5,AP
448,87578,BR99532,Weekly,517.5,CR38729,Hourly,13.62,Has not completed year 12,next six months,2.0,AP,2022-07-01,,3.0,2022,2022-08-04T09:50:59+00:00,5,AP
449,87579,BR99533,Weekly,564.54,CR38730,Hourly,14.86,Has not completed year 12,next six months*,3.0,AP,2022-07-01,,3.0,2022,2022-08-04T09:50:59+00:00,5,AP
450,87580,BR99534,Weekly,724.49,CR38731,Hourly,19.07,Has not completed year 12,next 12 months,4.0,AP,2022-07-01,,3.0,2022,2022-08-04T09:50:59+00:00,5,AP
451,92441,BR103688,Weekly,846.81,CR30162,Hourly,22.28,Have completed year 12,4th year (if applicable),4.0,AP,2022-07-01,,3.0,2022,2022-06-24T11:31:58+00:00,5,AP
452,87589,BR99543,Weekly,494.73,CR30151,Hourly,13.02,,less than 1000 hours of full-time accredited training,1.0,AD,2021-11-01,2022-06-30,1.0,2021,2022-03-03T18:52:51+00:00,5,AD
453,87591,BR99545,Weekly,674.63,CR30152,Hourly,17.75,,at least 1000 hours but less than 2000 hours of full-time accredited training,2.0,AD,2021-11-01,2022-06-30,1.0,2021,2022-03-03T18:52:51+00:00,5,AD
454,87592,BR99546,Weekly,832.04,CR30153,Hourly,21.9,,hairdressing graduate (first 12 months),3.0,AD,2021-11-01,2022-06-30,1.0,2021,2022-03-03T18:52:51+00:00,5,AD
455,87542,BR99502,Hourly,63.88,,,,Level D,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
456,87466,BR99440,Hourly,68.4,,,,Level D,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
457,87496,BR99460,Hourly,49.15,,,,Level B,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
458,87566,BR99522,Hourly,53.87,,,,Level C,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
459,87410,BR99387,Annual,108662.0,CR29156,Hourly,54.82,Level D,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
460,87534,BR99494,Hourly,56.13,,,,Level C,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
461,87572,BR99528,Hourly,61.62,,,,Level D,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
462,87401,BR99378,Annual,79463.0,CR29144,Hourly,40.09,Level B,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
463,87441,BR99415,Hourly,53.67,,,,Level B,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
464,127,BR89804,Annual,61336.0,CR29136,Hourly,30.94,Level A,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
465,87448,BR99422,Hourly,60.65,,,,Level C,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
466,144,BR89818,Annual,93294.0,CR29150,Hourly,47.06,Level C,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
467,87559,BR99515,Hourly,46.89,,,,Level B,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
468,2349,BR91623,Weekly,1085.6,CR26652,Hourly,28.57,Band 1,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,67,AD
469,6089,BR94771,Weekly,859.3,,,,,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,129,AD
470,9424,BR97608,Annual,59435.0,CR28705,Weekly,1139.0,Teachers,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,150,AD
471,9438,BR97620,Annual,83468.0,CR28717,Weekly,1599.6,Preschool field officers,1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,150,AD
472,9992,BR98086,Annual,48512.0,,,,,1,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,153,AD
473,87546,BR99506,Hourly,77.06,,,,Level E,level e*,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
474,87414,BR99391,Annual,134789.0,CR29160,Hourly,68.0,Level E,level e*,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
475,87590,BR99544,Hourly,74.8,,,,Level E,level e*,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
476,87470,BR99444,Hourly,81.58,,,,Level E,level e*,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
477,171,BR89839,Hourly,60.35,,,,,little preparation required (1 hour of delivery and 0.5 hours associated working time),1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
478,163,BR89833,Hourly,120.69,,,,,tutorial (1 hour of delivery and 2 hours associated working time),1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
479,158,BR89829,Hourly,154.68,,,,,basic lecture (1 hour of delivery and 2 hours associated working time),1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
480,181,BR89847,Hourly,40.2,,,,,if academic does not hold a relevant doctoral qualification or perform full subject coordination duties,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
481,161,BR89832,Hourly,103.1,,,,,repeat lecture (1 hour of delivery and 1 hour associated working time),1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
482,164,BR89834,Hourly,80.44,,,,,repeat tutorial (1 hour of delivery and 1 hour associated working time),1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
483,168,BR89837,Hourly,80.44,,,,,musical accompanying (1 hour of delivery and 1 hour preparation time),1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
484,172,BR89840,Hourly,80.44,,,,,normal preparation time (1 hour of delivery and 1 hour associated working time),1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
485,87543,BR99503,Hourly,65.43,,,,Level D,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
486,87415,BR99392,Annual,111738.0,CR29157,Hourly,56.37,Level D,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
487,128,BR89805,Annual,63794.0,CR29137,Hourly,32.18,Level A,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
488,87536,BR99496,Hourly,57.29,,,,Level C,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
489,145,BR89819,Annual,95601.0,CR29151,Hourly,48.23,Level C,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
490,87573,BR99529,Hourly,63.17,,,,Level D,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
491,87442,BR99416,Hourly,54.83,,,,Level B,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
492,87449,BR99423,Hourly,61.81,,,,Level C,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
493,87560,BR99516,Hourly,48.06,,,,Level B,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
494,138,BR89813,Annual,81768.0,CR29145,Hourly,41.25,Level B,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
495,87497,BR99461,Hourly,50.31,,,,Level B,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
496,87467,BR99441,Hourly,69.95,,,,Level D,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
497,87567,BR99523,Hourly,55.03,,,,Level C,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,6,AD
498,2350,BR91624,Weekly,1116.1,CR26653,Hourly,29.37,Band 1,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,67,AD
499,6090,BR94772,Weekly,882.8,,,,,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,129,AD
500,9425,BR97609,Annual,60659.0,CR28706,Weekly,1162.5,Teachers,2,2.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,150,AD
501,9993,BR98087,Annual,60563.0,,,,,2,3.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,153,AD
502,159,BR89830,Hourly,206.28,,,,,developed lecture (1 hour of delivery and 3 hours associated working time),2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
503,166,BR89836,Hourly,91.28,,,,,repeat tutorial (1 hour of delivery and 1 hour associated working time) (where academic holds a relevant doctoral qualification),2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
504,178,BR89845,Hourly,45.66,,,,,standard marking (where academic holds a relevant doctoral qualification),2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
505,174,BR89842,Hourly,91.28,,,,,normal preparation time (1 hour of delivery and 1 hour associated working time) (where academic holds a relevant doctoral qualification),2.0,AD,2023-07-01,,5.0,2023,2023-06-02T08:37:38+00:00,6,AD
506,165,BR89835,Hourly,136.99,,,,,tutorial (1 hour of delivery and 2 hours associated working time) (where academic holds a relevant doctoral qualification),2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
507,169,BR89838,Hourly,91.28,,,,,musical accompanying (1 hour of delivery and 1 hour preparation time) (where academic holds a relevant doctoral qualification),2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
508,173,BR89841,Hourly,68.48,,,,,little preparation required (1 hour of delivery and 0.5 hours associated working time) (where academic holds a relevant doctoral qualification),2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
509,90198,BR101946,Hourly,45.66,,,,,if academic holds a relevant doctoral qualification or performs full subject coordination duties,2.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
510,160,BR89831,Hourly,257.83,,,,,specialised lecture (1 hour of delivery and 4 hours associated working time),3.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
511,179,BR89846,Hourly,51.56,,,,,"marking as a supervising examiner, or marking requiring a significant exercise of academic judgment appropriate to an academic at level b status",3.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,6,AD
512,207,BR89867,Annual,65526.26,CR25716,Hourly,33.16,,hew level 6.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
513,90323,BR102073,Annual,65526.26,CR29675,Hourly,34.29,,hew level 6.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
514,92134,BR103430,Annual,65526.26,,,,,hew level 6.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
515,207,BR89867,Annual,65526.26,CR29709,Weekly,1260.12,,hew level 6.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
516,90323,BR102073,Annual,65526.26,CR29743,Weekly,1260.12,,hew level 6.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
517,90338,BR102088,Annual,86503.19,CR29755,Weekly,1663.52,,hew level 9.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
518,222,BR89879,Annual,86503.19,CR25728,Hourly,43.78,,hew level 9.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
519,92149,BR103445,Annual,86503.19,,,,,hew level 9.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
520,90338,BR102088,Annual,86503.19,CR29687,Hourly,45.27,,hew level 9.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
521,222,BR89879,Annual,86503.19,CR29721,Weekly,1663.52,,hew level 9.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
522,184,BR89849,Annual,47847.99,CR25698,Hourly,24.21,,hew level 1.1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,7,AD
523,184,BR89849,Annual,47847.99,CR29691,Weekly,920.15,,hew level 1.1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,7,AD
524,90300,BR102050,Annual,47847.99,CR29657,Hourly,25.04,,hew level 1.1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,7,AD
525,92111,BR103407,Annual,47847.99,,,,,hew level 1.1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,7,AD
526,90300,BR102050,Annual,47847.99,CR29725,Weekly,920.15,,hew level 1.1,1.0,AD,2023-07-01,,3.0,2023,2023-06-02T08:37:38+00:00,7,AD
527,90333,BR102083,Annual,76757.65,CR29683,Hourly,40.17,,hew level 8.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
528,217,BR89875,Annual,76757.65,CR29717,Weekly,1476.11,,hew level 8.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
529,217,BR89875,Annual,76757.65,CR25724,Hourly,38.85,,hew level 8.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
530,92144,BR103440,Annual,76757.65,,,,,hew level 8.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
531,90333,BR102083,Annual,76757.65,CR29751,Weekly,1476.11,,hew level 8.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
532,90317,BR102067,Annual,59501.59,CR29738,Weekly,1144.26,,hew level 5.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
533,90317,BR102067,Annual,59501.59,CR29670,Hourly,31.14,,hew level 5.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
534,92128,BR103424,Annual,59501.59,,,,,hew level 5.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
535,201,BR89862,Annual,59501.59,CR25711,Hourly,30.11,,hew level 5.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
536,201,BR89862,Annual,59501.59,CR29704,Weekly,1144.26,,hew level 5.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
537,197,BR89859,Annual,56595.66,CR25708,Hourly,28.64,,hew level 4.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
538,92124,BR103420,Annual,56595.66,,,,,hew level 4.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
539,90313,BR102063,Annual,56595.66,CR29667,Hourly,29.62,,hew level 4.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
540,197,BR89859,Annual,56595.66,CR29701,Weekly,1088.38,,hew level 4.1,1.0,AD,2023-07-01,,4.0,2023,2023-06-02T08:37:38+00:00,7,AD
